"","shipment_id","order_id","prod_id","delivery_departed_date","delivery_received_date","est_delivery_date","shipper_name","delivery_recipient","delivery_fee","delivery_status"
"1","sm1","o001","prod01","22-01-2023","23-01-2023","23-01-2023","DHL","Kelsey",5,"Delivered"
"2","sm2","o139","prod11","22-01-2023","23-01-2023","23-01-2023","DHL","Thomas",5,"Delivered"
"3","sm3","o367","prod01","15-05-2022","16-05-2022","16-05-2022","DHL","Jeremiah",5,"Delivered"
"4","sm4","o086","prod17","26-07-2022","27-07-2022","27-07-2022","DHL","Bajon",5,"Delivered"
"5","sm5","o343","prod06","19-08-2022","20-08-2022","20-08-2022","DHL","Brittany",5,"Delivered"
"6","sm6","o438","prod06","01-10-2023","02-10-2023","02-10-2023","DHL","Mudrik",5,"Delivered"
"7","sm7","o204","prod11","22-05-2023","23-05-2023","23-05-2023","DHL","Haley",5,"Delivered"
"8","sm8","o444","prod12","03-01-2022","04-01-2022","04-01-2022","DHL","Megan",5,"Delivered"
"9","sm9","o362","prod01","05-12-2022","06-12-2022","06-12-2022","DHL","Gabriela",5,"Delivered"
"10","sm10","o184","prod19","14-07-2022","15-07-2022","15-07-2022","DHL","Megan",5,"Delivered"
"11","sm11","o123","prod19","22-01-2023","23-01-2023","23-01-2023","DHL","Arely",5,"Delivered"
"12","sm12","o226","prod06","29-01-2024","30-01-2024","30-01-2024","DHL","Oscar",5,"Delivered"
"13","sm13","o013","prod06","24-12-2023","25-12-2023","25-12-2023","DHL","Gabriela",5,"Delivered"
"14","sm14","o131","prod12","28-03-2022","29-03-2022","29-03-2022","DHL","Lakota",5,"Delivered"
"15","sm15","o385","prod12","29-12-2022","30-12-2022","30-12-2022","DHL","Alan",5,"Delivered"
"16","sm16","o413","prod19","10-01-2023","11-01-2023","11-01-2023","DHL","Jared",5,"Delivered"
"17","sm17","o063","prod13","14-08-2023","15-08-2023","15-08-2023","DHL","Africa",5,"Delivered"
"18","sm18","o259","prod08","26-07-2022","27-07-2022","27-07-2022","DHL","Tyler",5,"Delivered"
"19","sm19","o081","prod12","10-05-2023","11-05-2023","11-05-2023","DHL","Simone",5,"Delivered"
"20","sm20","o101","prod03","19-08-2022","20-08-2022","20-08-2022","DHL","Darrion",5,"Delivered"
"21","sm21","o283","prod12","22-01-2023","23-01-2023","23-01-2023","DHL","Austin",5,"Delivered"
