"","cust_id","first_name","last_name","cust_email","password","cust_birth_date","block_num","postcode","address_type","cust_telephone"
"1","cust001","Alsunbayar","Garand","Garand.Alsunbayar@gmail.com","DkapCADr","06-11-1948","F40","CV128NR","Office","0756503990"
"2","cust002","Devlin","Aubuchon","Aubuchon.Devlin@gmail.com","AHJRnv7j","10-05-1999","L90","CV7 7DH","Home","0756892295"
"3","cust003","Corey","Perez-Luna","Perez-Luna.Corey@gmail.com","6Ypv7SIT","04-01-2005","E46","CV227QB","Home","0753607446"
"4","cust004","Karen","Munoz Quinones","Munoz Quinones.Karen@gmail.com","dkfc7U94","17-12-1971","D48","CV376DP","Office","0758965096"
"5","cust005","Jumail","al-Farhat","al-Farhat.Jumail@gmail.com","BL8EDoY5","06-05-1990","E54","CV227YS","Home","0752343056"
"6","cust006","Andrew","Whitney-Smith","Whitney-Smith.Andrew@gmail.com","seYCQN5d","21-02-1996","B19","CV6 1QE","Office","0752402500"
"7","cust007","Maria","Najera","Najera.Maria@gmail.com","0l5iTzFl","24-05-1970","E72","CV327UN","Home","0754429053"
"8","cust008","Courtney","Ham","Ham.Courtney@gmail.com","ppQMC0PU","31-10-1969","C42","CV6 2EB","Home","0754408302"
"9","cust009","Joel","Hemphill","Hemphill.Joel@gmail.com","hxFP3YHD","04-09-1984","E79","CV327YA","Office","0758659585"
"10","cust010","Stacie","Dominguez","Dominguez.Stacie@gmail.com","TuMSkwyp","06-02-1971","Q20","CV4 9YJ","Office","0750130873"
"11","cust011","Keaanee","Smith","Smith.Keaanee@gmail.com","8Rqf8gu3","05-12-1947","B98","CV3 9BZ","Office","0751639766"
"12","cust012","Sarah","Cheng","Cheng.Sarah@gmail.com","mpjAK9yC","01-05-1947","U41","CV115HY","Home","0750418578"
"13","cust013","Tania","Lopez Ontiveros","Lopez Ontiveros.Tania@gmail.com","bUPvSps8","11-05-1977","X76","CV1 5HN","Office","0756222742"
"14","cust014","Alexandra","Bollig","Bollig.Alexandra@gmail.com","e2DHAo8N","01-08-1991","U04","CV129HW","Home","0753587800"
"15","cust015","Ariann","Nguyen","Nguyen.Ariann@gmail.com","t3W642ta","25-08-1949","U50","CV114FG","Office","0756613836"
"16","cust016","Jerome","Fields","Fields.Jerome@gmail.com","qFkTQ9eG","25-08-1949","Y43","CV109RQ","Home","0757454949"
"17","cust017","Jahlisha","Candelaria","Candelaria.Jahlisha@gmail.com","w6JJtZ38","23-01-1952","N45","CV2 2LR","Office","0752947228"
"18","cust018","Mallory","Ruiz","Ruiz.Mallory@gmail.com","XZwMCJHZ","14-09-1981","G06","CV3 3BW","Office","0750093645"
"19","cust019","Humaina","el-Naderi","el-Naderi.Humaina@gmail.com","bzTHjn5w","24-05-1961","C37","CV3 1LA","Home","0750591353"
"20","cust020","Rakeyia","Finney","Finney.Rakeyia@gmail.com","IbkaEutL","04-07-1963","X53","CV213QZ","Office","0752849597"
"21","cust021","Arlene","Mcclaskey","Mcclaskey.Arlene@gmail.com","xOQpBhrw","21-02-1996","P16","CV6 9QP","Home","0757015133"
"22","cust022","Mahmooda","al-Habeeb","al-Habeeb.Mahmooda@gmail.com","D5nXHdfV","11-05-1977","P76","CV5 6DB","Home","0756841547"
"23","cust023","Anthony","Nieto","Nieto.Anthony@gmail.com","cqX5kGip","01-08-1991","D40","CV212LB","Office","0750526064"
"24","cust024","Muslim","al-Saba","al-Saba.Muslim@gmail.com","ZdXEgS8R","18-05-2003","F72","CV227YH","Office","0753095181"
"25","cust025","Khaleela","al-Harron","al-Harron.Khaleela@gmail.com","QFaffi8c","25-08-1974","A24","CV471BG","Home","0750941999"
"26","cust026","Lawrence","Chavez","Chavez.Lawrence@gmail.com","a5aOhpgP","06-01-2001","V59","CV239YS","Home","0756745243"
